,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,1,1,90,10
1,0,1,20,8,1,90,10
2,0,2,30,25,1,90,10
3,0,3,40,38,1,90,10
4,0,4,50,58,1,90,10
5,0,5,60,62,1,90,10
6,0,6,70,74,1,90,10
7,0,7,80,83,1,90,10
8,0,8,90,87,1,90,10
9,0,9,100,89,1,90,10
10,0,10,110,85,1,90,10
11,0,11,120,95,1,90,10
12,1,0,10,1,1,90,10
13,1,1,20,10,1,90,10
14,1,2,30,22,1,90,10
15,1,3,40,34,1,90,10
16,1,4,50,55,1,90,10
17,1,5,60,59,1,90,10
18,1,6,70,70,1,90,10
19,1,7,80,84,1,90,10
20,2,0,10,4,1,90,10
21,2,1,20,7,1,90,10
22,2,2,30,23,1,90,10
23,2,3,40,39,1,90,10
24,2,4,50,44,1,90,10
25,2,5,60,58,1,90,10
26,2,6,70,77,1,90,10
27,2,7,80,87,1,90,10
28,2,8,90,92,1,90,10
