,linear,hyper,para,expo,win_model,target_ratings,selected_intensities,extrapolated_ratings
fitted,"[ 12.54410013  18.22467756  23.90525499  29.58583242  35.26640985
  40.94698729  46.62756472  52.30814215  57.98871958  63.66929701
  69.34987444  75.03045187  80.71102931  86.39160674  92.07218417
  97.7527616  103.43333903]","[ 10.04460895  16.7349409   23.27041042  29.65633297  35.89778344
  41.99960971  47.96644515  53.80272034  59.51267409  65.10036369
  70.5696745   75.92432899  81.16789516  86.3037945   91.33530943
  96.26559025 101.09766179]","[ 10.4503047   16.93196295  23.30681046  29.57484722  35.73607322
  41.79048847  47.73809298  53.57888673  59.31286973  64.94004198
  70.46040348  75.87395422  81.18069422  86.38062347  91.47374196
  96.4600497  101.3395467 ]","[  9.99599783  16.95543654  23.5511566   29.88897577  36.02857324
  42.00808574  47.85388712  53.585245    59.21681647  64.76010369
  70.22435871  75.61717473  80.94488832  86.2128623   91.42569036
  96.58734844 101.70130929]",para,"[40.0, 90.0]","[3.5, 8.0]","[41.79048847342612, 91.47374195962465]"
sse,746.388873409939,727.980933852548,727.1043302880477,727.2548132036385,para,"[40.0, 90.0]","[3.5, 8.0]","[41.79048847342612, 91.47374195962465]"
params,[ 1.18294527 11.36115486  0.        ],[   581.42277714 -24113.17586763     41.2017802 ],[-2.83344407 13.49737027 -0.2136215 ],[-7.10017361 17.09617144  0.8422764 ],para,"[40.0, 90.0]","[3.5, 8.0]","[41.79048847342612, 91.47374195962465]"
stim_val,"[3.5, 8.0]","[3.5, 8.0]","[3.5, 8.0]","[3.5, 8.0]",para,"[40.0, 90.0]","[3.5, 8.0]","[41.79048847342612, 91.47374195962465]"
fitted_val,"[40.94698728558927, 92.07218416900622]","[41.99960971494045, 91.33530942626822]","[41.79048847342612, 91.47374195962465]","[42.008085735504906, 91.42569035846915]",para,"[40.0, 90.0]","[3.5, 8.0]","[41.79048847342612, 91.47374195962465]"
