,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,130,20
1,0,1,20,2,1,130,20
2,0,2,30,3,1,130,20
3,0,3,40,11,1,130,20
4,0,4,50,19,1,130,20
5,0,5,60,27,1,130,20
6,0,6,70,29,1,130,20
7,0,7,80,37,1,130,20
8,0,8,90,40,1,130,20
9,0,9,100,43,1,130,20
10,0,10,110,44,1,130,20
11,0,11,120,44,1,130,20
12,0,12,130,53,1,130,20
13,0,13,140,56,1,130,20
14,1,0,10,0,1,130,20
15,1,1,20,1,1,130,20
16,1,2,30,3,1,130,20
17,1,3,40,7,1,130,20
18,1,4,50,18,1,130,20
19,1,5,60,17,1,130,20
20,1,6,70,23,1,130,20
21,1,7,80,31,1,130,20
22,1,8,90,36,1,130,20
23,1,9,100,37,1,130,20
24,1,10,110,49,1,130,20
25,2,0,10,0,1,130,20
26,2,1,20,2,1,130,20
27,2,2,30,7,1,130,20
28,2,3,40,8,1,130,20
29,2,4,50,16,1,130,20
30,2,5,60,19,1,130,20
31,2,6,70,20,1,130,20
32,2,7,80,23,1,130,20
33,2,8,90,28,1,130,20
34,2,9,100,36,1,130,20
35,2,10,110,47,1,130,20
36,2,11,120,47,1,130,20
37,2,12,130,52,1,130,20
