,linear,hyper,para,expo,win_model,target_ratings,selected_intensities,extrapolated_ratings
fitted,"[  4.0558327    8.74456322  13.43329374  18.12202426  22.81075479
  27.49948531  32.18821583  36.87694636  41.56567688  46.2544074
  50.94313792  55.63186845  60.32059897  65.00932949  69.69806002
  74.38679054  79.07552106  83.76425158  88.45298211  93.14171263
  97.83044315 102.51917368 107.2079042 ]","[52.54811083 52.4833338  52.40969884 52.32525569 52.22743624 52.11278876
 51.97656216 51.81203102 51.60935117 51.35351481 51.0204539  50.56898769
 49.92232567 48.9189611  47.15135465 43.20927292 26.66820226 98.52945615
 65.80611408 60.64829436 58.54766467 57.40749351 56.69163346]","[ -1.89055047   4.48294221  10.69598117  16.74856642  22.64069794
  28.37237575  33.94359985  39.35437022  44.60468688  49.69454982
  54.62395905  59.39291455  64.00141634  68.44946441  72.73705876
  76.8641994   80.83088632  84.63711952  88.282899    91.76822477
  95.09309682  98.25751515 101.26147976]","[ -0.79976083   5.7048101   11.8343783   17.6687034   23.26164702
  28.65177278  33.86790721  38.93232424  43.86269331  48.67333428
  53.37606025  57.98076339  62.49583401  66.9284678   71.28489587
  75.57056026  79.79024995  83.9482078   88.04821582  92.09366374
  96.087605   100.0328026  103.93176725]",para,"[40.0, 90.0]","[5.5, 11.0]","[39.35437022314077, 88.28289900243723]"
sse,1307.0157272827043,13468.818277634053,1151.8513750442462,1223.5766970834839,para,"[40.0, 90.0]","[5.5, 11.0]","[39.35437022314077, 88.28289900243723]"
params,[-14.6990894    9.37746105   0.        ],[ 53.56030231   8.4142352  -10.31288874],[-28.98905837  14.19106882  -0.32090743],[-38.95699904  23.40094039   0.70539025],para,"[40.0, 90.0]","[5.5, 11.0]","[39.35437022314077, 88.28289900243723]"
stim_val,"[6.0, 11.0]","[9.5, 10.5]","[5.5, 11.0]","[5.5, 11.0]",para,"[40.0, 90.0]","[5.5, 11.0]","[39.35437022314077, 88.28289900243723]"
fitted_val,"[41.56567687906238, 88.45298210783673]","[43.20927292141805, 98.52945614560981]","[39.35437022314077, 88.28289900243723]","[38.93232423948467, 88.04821581578062]",para,"[40.0, 90.0]","[5.5, 11.0]","[39.35437022314077, 88.28289900243723]"
