,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,4,1,150,10
1,0,1,20,12,1,150,10
2,0,2,30,20,1,150,10
3,0,3,40,22,1,150,10
4,0,4,50,22,1,150,10
5,0,5,60,33,1,150,10
6,0,6,70,37,1,150,10
7,0,7,80,47,1,150,10
8,0,8,90,55,1,150,10
9,0,9,100,72,1,150,10
10,0,10,110,73,1,150,10
11,1,0,10,3,1,150,10
12,1,1,20,6,1,150,10
13,1,2,30,11,1,150,10
14,1,3,40,9,1,150,10
15,1,4,50,12,1,150,10
16,1,5,60,14,1,150,10
17,1,6,70,19,1,150,10
18,1,7,80,31,1,150,10
19,1,8,90,45,1,150,10
20,1,9,100,52,1,150,10
21,1,10,110,53,1,150,10
22,1,11,120,60,1,150,10
23,1,12,130,71,1,150,10
24,1,13,140,69,1,150,10
25,1,14,150,86,1,150,10
26,2,0,10,3,1,150,10
27,2,1,20,4,1,150,10
28,2,2,30,6,1,150,10
29,2,3,40,6,1,150,10
30,2,4,50,9,1,150,10
31,2,5,60,10,1,150,10
32,2,6,70,27,1,150,10
33,2,7,80,31,1,150,10
34,2,8,90,45,1,150,10
35,2,9,100,54,1,150,10
36,2,10,110,62,1,150,10
37,2,11,120,67,1,150,10
38,2,12,130,81,1,150,10
39,2,13,140,85,1,150,10
40,2,14,150,90,1,150,10
