,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,2,1,90,10
1,0,1,20,16,1,90,10
2,0,2,30,21,1,90,10
3,0,3,40,50,1,90,10
4,0,4,50,72,1,90,10
5,0,5,60,84,1,90,10
6,0,6,70,94,1,90,10
7,0,7,80,100,1,90,10
8,1,0,10,5,1,90,10
9,1,1,20,13,1,90,10
10,1,2,30,15,1,90,10
11,1,3,40,23,1,90,10
12,1,4,50,38,1,90,10
13,1,5,60,49,1,90,10
14,1,6,70,65,1,90,10
15,1,7,80,77,1,90,10
16,1,8,90,98,1,90,10
17,2,0,10,2,1,90,10
18,2,1,20,7,1,90,10
19,2,2,30,13,1,90,10
20,2,3,40,30,1,90,10
21,2,4,50,37,1,90,10
22,2,5,60,53,1,90,10
23,2,6,70,75,1,90,10
24,2,7,80,89,1,90,10
25,2,8,90,99,1,90,10
