,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,240,40
1,0,1,20,0,1,240,40
2,0,2,30,4,1,240,40
3,0,3,40,9,1,240,40
4,0,4,50,13,1,240,40
5,0,5,60,21,1,240,40
6,0,6,70,26,1,240,40
7,0,7,80,29,1,240,40
8,0,8,90,32,1,240,40
9,0,9,100,37,1,240,40
10,0,10,110,41,1,240,40
11,0,11,120,47,1,240,40
12,0,12,130,48,1,240,40
13,0,13,140,53,1,240,40
14,0,14,150,52,1,240,40
15,0,15,160,59,1,240,40
16,0,16,170,59,1,240,40
17,0,17,180,64,1,240,40
18,0,18,190,71,1,240,40
19,0,19,200,69,1,240,40
20,1,0,10,0,1,240,40
21,1,1,20,0,1,240,40
22,1,2,30,0,1,240,40
23,1,3,40,0,1,240,40
24,1,4,50,7,1,240,40
25,1,5,60,7,1,240,40
26,1,6,70,9,1,240,40
27,1,7,80,10,1,240,40
28,1,8,90,14,1,240,40
29,1,9,100,20,1,240,40
30,1,10,110,26,1,240,40
31,1,11,120,32,1,240,40
32,1,12,130,38,1,240,40
33,1,13,140,45,1,240,40
34,1,14,150,50,1,240,40
35,1,15,160,53,1,240,40
36,1,16,170,58,1,240,40
37,1,17,180,59,1,240,40
38,1,18,190,69,1,240,40
39,1,19,200,74,1,240,40
40,1,20,210,75,1,240,40
41,1,21,220,82,1,240,40
42,2,0,10,0,1,240,40
43,2,1,20,0,1,240,40
44,2,2,30,0,1,240,40
45,2,3,40,2,1,240,40
46,2,4,50,7,1,240,40
47,2,5,60,9,1,240,40
48,2,6,70,10,1,240,40
49,2,7,80,16,1,240,40
50,2,8,90,25,1,240,40
51,2,9,100,27,1,240,40
52,2,10,110,28,1,240,40
53,2,11,120,34,1,240,40
54,2,12,130,43,1,240,40
55,2,13,140,47,1,240,40
56,2,14,150,50,1,240,40
57,2,15,160,54,1,240,40
58,2,16,170,58,1,240,40
59,2,17,180,60,1,240,40
60,2,18,190,65,1,240,40
61,2,19,200,67,1,240,40
62,2,20,210,70,1,240,40
63,2,21,220,77,1,240,40
64,2,22,230,81,1,240,40
65,2,23,240,85,1,240,40
