,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,13,1,60,10
1,0,1,20,38,1,60,10
2,0,2,30,48,1,60,10
3,0,3,40,50,1,60,10
4,0,4,50,50,1,60,10
5,1,0,10,16,1,60,10
6,1,1,20,18,1,60,10
7,1,2,30,27,1,60,10
8,1,3,40,35,1,60,10
9,1,4,50,44,1,60,10
10,1,5,60,56,1,60,10
11,2,0,10,3,1,60,10
12,2,1,20,14,1,60,10
13,2,2,30,23,1,60,10
14,2,3,40,18,1,60,10
15,2,4,50,25,1,60,10
16,2,5,60,43,1,60,10
