,linear,hyper,para,expo,win_model,target_ratings,selected_intensities,extrapolated_ratings
fitted,"[-0.63370073  5.30941158 11.25252389 17.1956362  23.13874851 29.08186082
 35.02497313 40.96808544 46.91119775 52.85431006 58.79742237 64.74053468
 70.68364699 76.6267593  82.56987161 88.51298393 94.45609624]","[ 1.98283344  6.97400368 12.07440648 17.28766736 22.6175741  28.0680859
 33.64334316 39.34767802 45.18562557 51.16193585 57.28158675 63.54979789
 69.97204537 76.55407782 83.3019335  90.22195883 97.32082822]","[ 2.5866028   7.29763769 12.17294944 17.21253805 22.41640353 27.78454588
 33.31696508 39.01366116 44.87463409 50.8998839  57.08941056 63.44321409
 69.96129449 76.64365175 83.49028587 90.50119686 97.67638471]","[ 3.53947075  7.59878417 12.07283423 16.88296391 21.97907029 27.32597903
 32.89741815 38.67289905 44.63592538 50.77288459 57.07232225 63.5244454
 70.12077025 76.85386476 83.71715596 90.70478244 97.8114796 ]",expo,"[40.0, 90.0]","[4.5, 8.5]","[38.67289905209148, 90.70478244279047]"
sse,1616.1775311427755,1581.577619991777,1570.5600080231854,1544.9637441432424,expo,"[40.0, 90.0]","[4.5, 8.5]","[38.67289905209148, 90.70478244279047]"
params,[-12.51992536  11.88622462   0.        ],[  -459.13206521 -21530.86774046    -47.69306458],[-6.34263638  8.60068545  0.32855373],[-2.3849444   5.92441514  1.28710126],expo,"[40.0, 90.0]","[4.5, 8.5]","[38.67289905209148, 90.70478244279047]"
stim_val,"[4.5, 8.5]","[4.5, 8.5]","[4.5, 8.5]","[4.5, 8.5]",expo,"[40.0, 90.0]","[4.5, 8.5]","[38.67289905209148, 90.70478244279047]"
fitted_val,"[40.968085440047375, 88.51298392544214]","[39.347678023084825, 90.22195882645184]","[39.01366115730575, 90.50119686012538]","[38.67289905209148, 90.70478244279047]",expo,"[40.0, 90.0]","[4.5, 8.5]","[38.67289905209148, 90.70478244279047]"
