,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,3,1,90,10
1,0,1,20,15,1,90,10
2,0,2,30,22,1,90,10
3,0,3,40,27,1,90,10
4,0,4,50,39,1,90,10
5,0,5,60,42,1,90,10
6,0,6,70,51,1,90,10
7,0,7,80,66,1,90,10
8,0,8,90,66,1,90,10
9,0,9,100,77,1,90,10
10,0,10,110,82,1,90,10
11,1,0,10,2,1,90,10
12,1,1,20,8,1,90,10
13,1,2,30,8,1,90,10
14,1,3,40,13,1,90,10
15,1,4,50,16,1,90,10
16,1,5,60,19,1,90,10
17,1,6,70,23,1,90,10
18,1,7,80,37,1,90,10
19,1,8,90,54,1,90,10
20,1,9,100,73,1,90,10
21,1,10,110,81,1,90,10
22,2,0,10,2,1,90,10
23,2,1,20,9,1,90,10
24,2,2,30,9,1,90,10
25,2,3,40,17,1,90,10
26,2,4,50,23,1,90,10
27,2,5,60,29,1,90,10
28,2,6,70,50,1,90,10
29,2,7,80,63,1,90,10
30,2,8,90,74,1,90,10
