,linear,hyper,para,expo,win_model,target_ratings,selected_intensities,extrapolated_ratings
fitted,"[26.72932291 37.50357996 48.277837   59.05209405 69.8263511  80.60060814
 91.37486519]","[24.98508064 37.08067484 48.64965765 59.72568735 70.3396137  80.51976491
 90.29220008]","[26.44911708 37.42820308 48.33231587 59.16145544 69.91562178 80.59481491
 91.19903482]","[26.59325896 37.47242302 48.30533826 59.09994361 69.86186092 80.59528063
 91.30344654]",para,"[40.0, 90.0]","[2.5, 5.0]","[37.42820308384, 91.19903481854918]"
sse,3493.151505496387,3496.784529241791,3493.018133492767,3493.124920730939,para,"[40.0, 90.0]","[2.5, 5.0]","[37.42820308384, 91.19903481854918]"
params,[-16.36770528  21.54851409   0.        ],[   568.53032993 -11940.998122       19.96872871],[-18.21695915  22.63293099  -0.14994644],[-17.97286791  22.61223653   0.97884389],para,"[40.0, 90.0]","[2.5, 5.0]","[37.42820308384, 91.19903481854918]"
stim_val,"[2.5, 5.0]","[2.5, 5.0]","[2.5, 5.0]","[2.5, 5.0]",para,"[40.0, 90.0]","[2.5, 5.0]","[37.42820308384, 91.19903481854918]"
fitted_val,"[37.50357995681818, 91.37486519067312]","[37.08067484202138, 90.29220007776445]","[37.42820308384, 91.19903481854918]","[37.472423018948035, 91.30344653813249]",para,"[40.0, 90.0]","[2.5, 5.0]","[37.42820308384, 91.19903481854918]"
