,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,10,1,170,20
1,0,1,20,22,1,170,20
2,0,2,30,38,1,170,20
3,0,3,40,53,1,170,20
4,0,4,50,55,1,170,20
5,0,5,60,62,1,170,20
6,0,6,70,65,1,170,20
7,0,7,80,67,1,170,20
8,0,8,90,68,1,170,20
9,0,9,100,71,1,170,20
10,0,10,110,70,1,170,20
11,0,11,120,69,1,170,20
12,0,12,130,73,1,170,20
13,1,0,10,0,1,170,20
14,1,1,20,6,1,170,20
15,1,2,30,9,1,170,20
16,1,3,40,12,1,170,20
17,1,4,50,18,1,170,20
18,1,5,60,26,1,170,20
19,1,6,70,37,1,170,20
20,1,7,80,39,1,170,20
21,1,8,90,44,1,170,20
22,1,9,100,52,1,170,20
23,1,10,110,58,1,170,20
24,1,11,120,61,1,170,20
25,1,12,130,68,1,170,20
26,1,13,140,70,1,170,20
27,1,14,150,82,1,170,20
28,2,0,10,0,1,170,20
29,2,1,20,2,1,170,20
30,2,2,30,6,1,170,20
31,2,3,40,7,1,170,20
32,2,4,50,12,1,170,20
33,2,5,60,25,1,170,20
34,2,6,70,31,1,170,20
35,2,7,80,43,1,170,20
36,2,8,90,51,1,170,20
37,2,9,100,56,1,170,20
38,2,10,110,63,1,170,20
39,2,11,120,60,1,170,20
40,2,12,130,65,1,170,20
41,2,13,140,58,1,170,20
42,2,14,150,70,1,170,20
43,2,15,160,78,1,170,20
44,2,16,170,88,1,170,20
