,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,8,1,70,10
1,0,1,20,14,1,70,10
2,0,2,30,21,1,70,10
3,0,3,40,30,1,70,10
4,0,4,50,47,1,70,10
5,0,5,60,50,1,70,10
6,0,6,70,56,1,70,10
7,1,0,10,4,1,70,10
8,1,1,20,7,1,70,10
9,1,2,30,10,1,70,10
10,1,3,40,18,1,70,10
11,1,4,50,24,1,70,10
12,1,5,60,34,1,70,10
13,1,6,70,51,1,70,10
14,2,0,10,6,1,70,10
15,2,1,20,7,1,70,10
16,2,2,30,9,1,70,10
17,2,3,40,14,1,70,10
18,2,4,50,21,1,70,10
19,2,5,60,28,1,70,10
20,2,6,70,37,1,70,10
