,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,90,20
1,0,1,20,4,1,90,20
2,0,2,30,9,1,90,20
3,0,3,40,31,1,90,20
4,0,4,50,29,1,90,20
5,0,5,60,45,1,90,20
6,0,6,70,53,1,90,20
7,0,7,80,71,1,90,20
8,0,8,90,100,1,90,20
9,1,0,10,0,1,90,20
10,1,1,20,10,1,90,20
11,1,2,30,19,1,90,20
12,1,3,40,30,1,90,20
13,1,4,50,48,1,90,20
14,1,5,60,69,1,90,20
15,1,6,70,84,1,90,20
16,1,7,80,100,1,90,20
17,2,0,10,0,1,90,20
18,2,1,20,6,1,90,20
19,2,2,30,21,1,90,20
20,2,3,40,39,1,90,20
21,2,4,50,48,1,90,20
22,2,5,60,68,1,90,20
23,2,6,70,79,1,90,20
24,2,7,80,92,1,90,20
25,2,8,90,100,1,90,20
