,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,120,40
1,0,1,20,0,1,120,40
2,0,2,30,2,1,120,40
3,0,3,40,4,1,120,40
4,0,4,50,10,1,120,40
5,0,5,60,19,1,120,40
6,0,6,70,18,1,120,40
7,0,7,80,20,1,120,40
8,0,8,90,28,1,120,40
9,0,9,100,33,1,120,40
10,0,10,110,37,1,120,40
11,0,11,120,46,1,120,40
12,1,0,10,0,1,120,40
13,1,1,20,0,1,120,40
14,1,2,30,0,1,120,40
15,1,3,40,2,1,120,40
16,1,4,50,6,1,120,40
17,1,5,60,9,1,120,40
18,1,6,70,17,1,120,40
19,1,7,80,18,1,120,40
20,1,8,90,27,1,120,40
21,1,9,100,37,1,120,40
22,1,10,110,37,1,120,40
23,1,11,120,47,1,120,40
24,2,0,10,0,1,120,40
25,2,1,20,0,1,120,40
26,2,2,30,0,1,120,40
27,2,3,40,2,1,120,40
28,2,4,50,7,1,120,40
29,2,5,60,8,1,120,40
30,2,6,70,11,1,120,40
31,2,7,80,16,1,120,40
32,2,8,90,19,1,120,40
33,2,9,100,20,1,120,40
34,2,10,110,26,1,120,40
35,2,11,120,35,1,120,40
