,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,3,1,130,30
1,0,1,20,24,1,130,30
2,0,2,30,58,1,130,30
3,0,3,40,62,1,130,30
4,0,4,50,79,1,130,30
5,1,0,10,3,1,130,30
6,1,1,20,24,1,130,30
7,1,2,30,39,1,130,30
8,1,3,40,49,1,130,30
9,1,4,50,50,1,130,30
10,1,5,60,56,1,130,30
11,1,6,70,55,1,130,30
12,1,7,80,60,1,130,30
13,1,8,90,65,1,130,30
14,1,9,100,62,1,130,30
15,1,10,110,70,1,130,30
16,2,0,10,0,1,130,30
17,2,1,20,0,1,130,30
18,2,2,30,2,1,130,30
19,2,3,40,3,1,130,30
20,2,4,50,4,1,130,30
21,2,5,60,6,1,130,30
22,2,6,70,7,1,130,30
23,2,7,80,12,1,130,30
24,2,8,90,20,1,130,30
25,2,9,100,38,1,130,30
26,2,10,110,48,1,130,30
27,2,11,120,53,1,130,30
28,2,12,130,66,1,130,30
