,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,100,20
1,0,1,20,2,1,100,20
2,0,2,30,11,1,100,20
3,0,3,40,36,1,100,20
4,0,4,50,53,1,100,20
5,0,5,60,62,1,100,20
6,0,6,70,80,1,100,20
7,0,7,80,88,1,100,20
8,1,0,10,0,1,100,20
9,1,1,20,3,1,100,20
10,1,2,30,13,1,100,20
11,1,3,40,30,1,100,20
12,1,4,50,49,1,100,20
13,1,5,60,59,1,100,20
14,1,6,70,67,1,100,20
15,1,7,80,74,1,100,20
16,1,8,90,89,1,100,20
17,2,0,10,0,1,100,20
18,2,1,20,2,1,100,20
19,2,2,30,14,1,100,20
20,2,3,40,32,1,100,20
21,2,4,50,51,1,100,20
22,2,5,60,59,1,100,20
23,2,6,70,64,1,100,20
24,2,7,80,76,1,100,20
25,2,8,90,86,1,100,20
26,2,9,100,93,1,100,20
