,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,3,1,130,10
1,0,1,20,10,1,130,10
2,0,2,30,17,1,130,10
3,0,3,40,30,1,130,10
4,0,4,50,35,1,130,10
5,0,5,60,40,1,130,10
6,0,6,70,44,1,130,10
7,0,7,80,49,1,130,10
8,0,8,90,62,1,130,10
9,0,9,100,71,1,130,10
10,0,10,110,87,1,130,10
11,0,11,120,100,1,130,10
12,1,0,10,4,1,130,10
13,1,1,20,11,1,130,10
14,1,2,30,14,1,130,10
15,1,3,40,27,1,130,10
16,1,4,50,36,1,130,10
17,1,5,60,37,1,130,10
18,1,6,70,46,1,130,10
19,1,7,80,54,1,130,10
20,1,8,90,60,1,130,10
21,1,9,100,81,1,130,10
22,1,10,110,88,1,130,10
23,1,11,120,90,1,130,10
24,2,0,10,2,1,130,10
25,2,1,20,9,1,130,10
26,2,2,30,12,1,130,10
27,2,3,40,18,1,130,10
28,2,4,50,27,1,130,10
29,2,5,60,37,1,130,10
30,2,6,70,50,1,130,10
31,2,7,80,61,1,130,10
32,2,8,90,71,1,130,10
33,2,9,100,76,1,130,10
34,2,10,110,84,1,130,10
35,2,11,120,85,1,130,10
36,2,12,130,90,1,130,10
