,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,4,1,90,10
1,0,1,20,8,1,90,10
2,0,2,30,10,1,90,10
3,0,3,40,16,1,90,10
4,0,4,50,21,1,90,10
5,0,5,60,37,1,90,10
6,0,6,70,48,1,90,10
7,0,7,80,69,1,90,10
8,0,8,90,75,1,90,10
9,1,0,10,3,1,90,10
10,1,1,20,7,1,90,10
11,1,2,30,13,1,90,10
12,1,3,40,15,1,90,10
13,1,4,50,22,1,90,10
14,1,5,60,38,1,90,10
15,1,6,70,64,1,90,10
16,1,7,80,70,1,90,10
17,1,8,90,73,1,90,10
18,1,9,100,82,1,90,10
19,2,0,10,1,1,90,10
20,2,1,20,4,1,90,10
21,2,2,30,13,1,90,10
22,2,3,40,13,1,90,10
23,2,4,50,19,1,90,10
24,2,5,60,37,1,90,10
25,2,6,70,52,1,90,10
26,2,7,80,66,1,90,10
27,2,8,90,77,1,90,10
