,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,3,1,90,10
1,0,1,20,17,1,90,10
2,0,2,30,32,1,90,10
3,0,3,40,52,1,90,10
4,0,4,50,65,1,90,10
5,0,5,60,75,1,90,10
6,0,6,70,89,1,90,10
7,1,0,10,8,1,90,10
8,1,1,20,5,1,90,10
9,1,2,30,16,1,90,10
10,1,3,40,60,1,90,10
11,1,4,50,79,1,90,10
12,1,5,60,90,1,90,10
13,1,6,70,95,1,90,10
14,1,7,80,95,1,90,10
15,2,0,10,3,1,90,10
16,2,1,20,4,1,90,10
17,2,2,30,14,1,90,10
18,2,3,40,20,1,90,10
19,2,4,50,34,1,90,10
20,2,5,60,48,1,90,10
21,2,6,70,75,1,90,10
22,2,7,80,87,1,90,10
23,2,8,90,94,1,90,10
