series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,wait1_dur,intensity,text_7.started,text_12.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,main_text.started,confirm_text.started,rating,ratingScale.response,ratingScale.rt,text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,participant,debug,fail_ma,max_ma,nramps,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,2.3,10,334.5497037000023,334.60223089999636,334.60223089999636,p,4.3961997000005795,339.010867399993,341.31671410000126,341.31671410000126,342.35897859999386,350.1771218999929,350.1771218999929,0,0,7.821,350.1771218999929,350.1771218999929,y,5.308593499998096,sub-017,0,750,700,3,2023-05-31_10h04.38.013,painuncertainty_calibration,2022.2.5,143.91160376370837,
0,0,0,0,1,0,1,0,2.2,20,355.5284949999914,355.6033701999986,355.6033701999986,p,0.8665658000099938,356.4783452999982,358.68021760000556,358.68021760000556,359.69679590000305,367.3387564000004,367.3387564000004,0,0,7.643,367.3387564000004,367.3387564000004,y,11.779239700001199,sub-017,0,750,700,3,2023-05-31_10h04.38.013,painuncertainty_calibration,2022.2.5,143.91160376370837,
0,0,0,0,2,0,2,0,2.4,30,379.1602716999914,379.23095620000095,379.23095620000095,p,0.5833734999905573,379.8217269000015,382.22432209999533,382.22432209999533,383.24042180000106,387.0737369999988,387.0737369999988,0,0,3.832,387.0737369999988,387.0737369999988,y,2.6845581000088714,sub-017,0,750,700,3,2023-05-31_10h04.38.013,painuncertainty_calibration,2022.2.5,143.91160376370837,
0,0,0,0,3,0,3,0,2.3,40,389.8013534999918,389.87146829999983,389.87146829999983,p,0.6626984000031371,390.54502350000257,392.8509150000027,392.8509150000027,393.8688082000008,395.98103229999833,395.98103229999833,97,97,2.114,395.98103229999833,395.98103229999833,y,3.056967100012116,sub-017,0,750,700,3,2023-05-31_10h04.38.013,painuncertainty_calibration,2022.2.5,143.91160376370837,
0,0,0,0,4,0,4,0,2.0,50,399.0703657999984,399.15083489999233,399.15083489999233,p,0.7676967000006698,399.92848079999385,401.928321600004,401.928321600004,402.94429189999937,410.4201424999919,410.4201424999919,0,0,7.476,410.4201424999919,410.4201424999919,y,6.993512600005488,sub-017,0,750,700,3,2023-05-31_10h04.38.013,painuncertainty_calibration,2022.2.5,143.91160376370837,
0,0,0,0,5,0,5,0,2.3,60,417.46016479999525,417.52745969999523,417.52745969999523,p,0.2793173999962164,417.8195132999972,420.12502189999213,420.12502189999213,421.14162339999166,452.4338906000048,452.4338906000048,0,0,31.292,452.4338906000048,452.4338906000048,y,9.491772299996228,sub-017,0,750,700,3,2023-05-31_10h04.38.013,painuncertainty_calibration,2022.2.5,143.91160376370837,
,,,,,,,,2.3,70,461.95965979999164,462.0402776999981,462.0402776999981,p,0.758352399992873,462.8111191999924,465.1100640999939,465.1100640999939,466.12623539999186,,,,,,,,,,,,,,,,,,,
