,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,5,1,110,20
1,0,1,20,29,1,110,20
2,0,2,30,80,1,110,20
3,0,3,40,83,1,110,20
4,0,4,50,94,1,110,20
5,0,5,60,100,1,110,20
6,1,0,10,4,1,110,20
7,1,1,20,12,1,110,20
8,1,2,30,25,1,110,20
9,1,3,40,30,1,110,20
10,1,4,50,46,1,110,20
11,1,5,60,54,1,110,20
12,1,6,70,55,1,110,20
13,1,7,80,67,1,110,20
14,1,8,90,80,1,110,20
15,1,9,100,84,1,110,20
16,1,10,110,95,1,110,20
17,2,0,10,0,1,110,20
18,2,1,20,1,1,110,20
19,2,2,30,9,1,110,20
20,2,3,40,11,1,110,20
21,2,4,50,16,1,110,20
22,2,5,60,22,1,110,20
23,2,6,70,33,1,110,20
24,2,7,80,48,1,110,20
25,2,8,90,71,1,110,20
26,2,9,100,79,1,110,20
27,2,10,110,91,1,110,20
