,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,130,10
1,0,1,20,3,1,130,10
2,0,2,30,7,1,130,10
3,0,3,40,18,1,130,10
4,0,4,50,31,1,130,10
5,0,5,60,47,1,130,10
6,0,6,70,56,1,130,10
7,0,7,80,61,1,130,10
8,0,8,90,70,1,130,10
9,0,9,100,85,1,130,10
10,1,0,10,0,1,130,10
11,1,1,20,4,1,130,10
12,1,2,30,9,1,130,10
13,1,3,40,13,1,130,10
14,1,4,50,21,1,130,10
15,1,5,60,29,1,130,10
16,1,6,70,29,1,130,10
17,1,7,80,34,1,130,10
18,1,8,90,48,1,130,10
19,1,9,100,59,1,130,10
20,1,10,110,74,1,130,10
21,1,11,120,81,1,130,10
22,2,0,10,7,1,130,10
23,2,1,20,8,1,130,10
24,2,2,30,15,1,130,10
25,2,3,40,19,1,130,10
26,2,4,50,24,1,130,10
27,2,5,60,28,1,130,10
28,2,6,70,34,1,130,10
29,2,7,80,39,1,130,10
30,2,8,90,48,1,130,10
31,2,9,100,57,1,130,10
32,2,10,110,63,1,130,10
33,2,11,120,76,1,130,10
34,2,12,130,89,1,130,10
