,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,1,1,90,20
1,0,1,20,5,1,90,20
2,0,2,30,12,1,90,20
3,0,3,40,30,1,90,20
4,0,4,50,43,1,90,20
5,0,5,60,59,1,90,20
6,0,6,70,73,1,90,20
7,0,7,80,75,1,90,20
8,0,8,90,83,1,90,20
9,1,0,10,2,1,90,20
10,1,1,20,7,1,90,20
11,1,2,30,18,1,90,20
12,1,3,40,25,1,90,20
13,1,4,50,37,1,90,20
14,1,5,60,47,1,90,20
15,1,6,70,61,1,90,20
16,1,7,80,73,1,90,20
17,1,8,90,78,1,90,20
18,2,0,10,0,1,90,20
19,2,1,20,5,1,90,20
20,2,2,30,16,1,90,20
21,2,3,40,27,1,90,20
22,2,4,50,40,1,90,20
23,2,5,60,41,1,90,20
24,2,6,70,56,1,90,20
25,2,7,80,64,1,90,20
26,2,8,90,74,1,90,20
