,linear,hyper,para,expo,win_model,target_ratings,selected_intensities,extrapolated_ratings
fitted,"[ -3.77752591  10.75614062  25.28980715  39.82347368  54.35714022
  68.89080675  83.42447328  97.95813981 112.49180634]","[ -6.75851895   9.99843825  26.049108    41.43722253  56.20297664
  70.38337828  84.01255825  97.12204447 109.74100547]","[ -7.13464804   9.81669486  26.07727385  41.64708895  56.52614014
  70.71442743  84.21195082  97.0187103  109.13470589]","[ -5.74147332  10.40594924  25.86138178  40.82183234  55.39930125
  69.66580196  83.6713874   97.45278041 111.0380202 ]",para,"[40.0, 90.0]","[2.5, 4.0]","[41.64708894650454, 84.21195081799215]"
sse,2254.0946314832827,2216.863950752724,2204.9404520104745,2239.1385768267824,para,"[40.0, 90.0]","[2.5, 4.0]","[41.64708894650454, 84.21195081799215]"
params,[-32.84485897  29.06733306   0.        ],[   771.61577623 -17688.87249076     21.72540679],[-43.10962554  37.3565053   -1.3815278 ],[-43.850937    38.10946368   0.87126431],para,"[40.0, 90.0]","[2.5, 4.0]","[41.64708894650454, 84.21195081799215]"
stim_val,"[2.5, 4.0]","[2.5, 4.0]","[2.5, 4.0]","[2.5, 4.0]",para,"[40.0, 90.0]","[2.5, 4.0]","[41.64708894650454, 84.21195081799215]"
fitted_val,"[39.82347368442116, 83.42447327693228]","[41.43722252906173, 84.01255825107921]","[41.64708894650454, 84.21195081799215]","[40.82183234067228, 83.67138740029935]",para,"[40.0, 90.0]","[2.5, 4.0]","[41.64708894650454, 84.21195081799215]"
