series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,wait1_dur,intensity,text_7.started,text_12.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,main_text.started,confirm_text.started,rating,ratingScale.response,ratingScale.rt,text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,participant,debug,fail_ma,max_ma,nramps,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,2.0,10,382.0110402999999,382.06078890000026,382.06078890000026,p,1.1332626000003074,383.20643500000006,385.20718229999966,385.20718229999966,386.23909189999995,395.3186290000003,395.3186290000003,2,2,9.081,395.3186290000003,395.3186290000003,y,4.011884399999872,sub-064,0,750,700,3,2023-11-02_10h43.08.758,painuncertainty_calibration,2022.2.5,143.25395631556788,
0,0,0,0,1,0,1,0,2.3,20,399.3698666999999,399.44470060000003,399.44470060000003,p,0.9093663000003289,400.3614029999999,402.6607033,402.6607033,403.67654089999996,420.7229741000001,420.7229741000001,0,0,17.047,420.7229741000001,420.7229741000001,y,20.30316539999967,sub-064,0,750,700,3,2023-11-02_10h43.08.758,painuncertainty_calibration,2022.2.5,143.25395631556788,
0,0,0,0,2,0,2,0,2.5,30,441.0579146,441.1373550999997,441.1373550999997,p,0.9692660999999134,442.1164981000002,444.6174297999996,444.6174297999996,445.6340246999998,454.04655230000026,454.04655230000026,0,0,8.413,454.04655230000026,454.04655230000026,y,3.4752812999995513,sub-064,0,750,700,3,2023-11-02_10h43.08.758,painuncertainty_calibration,2022.2.5,143.25395631556788,
0,0,0,0,3,0,3,0,2.3,40,457.58498210000016,457.6395215000002,457.6395215000002,p,2.0350657999997566,459.68101039999965,461.9870066000003,461.9870066000003,463.0053716000002,498.4475173000001,498.4475173000001,0,0,35.443,498.4475173000001,498.4475173000001,y,4.659086799999386,sub-064,0,750,700,3,2023-11-02_10h43.08.758,painuncertainty_calibration,2022.2.5,143.25395631556788,
0,0,0,0,4,0,4,0,2.3,50,503.15707550000025,503.22135049999997,503.22135049999997,p,0.9726481999996395,504.20053069999994,506.5066386999997,506.5066386999997,507.5226899999998,526.1386923,526.1386923,0,0,18.616,526.1386923,526.1386923,y,6.9194037999996,sub-064,0,750,700,3,2023-11-02_10h43.08.758,painuncertainty_calibration,2022.2.5,143.25395631556788,
0,0,0,0,5,0,5,0,2.3,60,533.0964757000002,533.1694214999998,533.1694214999998,p,0.504797999999937,533.6833182,535.9890820999999,535.9890820999999,537.0068300000003,541.4737451000001,541.4737451000001,0,0,4.468,541.4737451000001,541.4737451000001,y,2.8805412000001525,sub-064,0,750,700,3,2023-11-02_10h43.08.758,painuncertainty_calibration,2022.2.5,143.25395631556788,
0,0,0,0,6,0,6,0,2.2,70,544.3974408000004,544.4693495000001,544.4693495000001,p,0.8053034999993542,545.2818926999998,547.4836082000002,547.4836082000002,548.5003844000003,553.2251305,553.2251305,0,0,4.725,553.2251305,553.2251305,y,1.9531106999993426,sub-064,0,750,700,3,2023-11-02_10h43.08.758,painuncertainty_calibration,2022.2.5,143.25395631556788,
0,0,0,0,7,0,7,0,2.3,80,555.2350366999999,555.2902364000001,555.2902364000001,p,0.6962225999996008,555.9985700999996,558.3043151000002,558.3043151000002,559.3200876999999,564.3938903999997,564.3938903999997,0,0,5.074,564.3938903999997,564.3938903999997,y,1.6724130000002333,sub-064,0,750,700,3,2023-11-02_10h43.08.758,painuncertainty_calibration,2022.2.5,143.25395631556788,
0,0,0,0,8,0,8,0,2.2,90,566.1050984000003,566.180378,566.180378,p,0.5655912999991415,566.7567091000001,568.9584142000003,568.9584142000003,569.9747180000004,575.0402268999997,575.0402268999997,0,0,5.066,575.0402268999997,575.0402268999997,y,14.0257959999999,sub-064,0,750,700,3,2023-11-02_10h43.08.758,painuncertainty_calibration,2022.2.5,143.25395631556788,
0,0,0,0,9,0,9,0,2.1,100,589.1227446000003,589.1834655000002,589.1834655000002,p,0.9389002999996592,590.1346709,592.2392984999997,592.2392984999997,593.2561605999999,629.0401588000004,629.0401588000004,0,0,35.784,629.0401588000004,629.0401588000004,y,1.0270487999996476,sub-064,0,750,700,3,2023-11-02_10h43.08.758,painuncertainty_calibration,2022.2.5,143.25395631556788,
,,,,,,,,2.1,110,630.1052215,630.1812469999995,630.1812469999995,p,0.4454057999992074,630.6401867000004,632.7439948000001,632.7439948000001,633.7586835000002,,,,,,,,,,,,,,,,,,,
