,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,7,1,80,20
1,0,1,20,20,1,80,20
2,0,2,30,17,1,80,20
3,0,3,40,25,1,80,20
4,0,4,50,40,1,80,20
5,0,5,60,60,1,80,20
6,0,6,70,62,1,80,20
7,0,7,80,77,1,80,20
8,1,0,10,0,1,80,20
9,1,1,20,6,1,80,20
10,1,2,30,8,1,80,20
11,1,3,40,13,1,80,20
12,1,4,50,25,1,80,20
13,1,5,60,39,1,80,20
14,1,6,70,61,1,80,20
15,1,7,80,74,1,80,20
16,2,0,10,0,1,80,20
17,2,1,20,9,1,80,20
18,2,2,30,11,1,80,20
19,2,3,40,22,1,80,20
20,2,4,50,38,1,80,20
21,2,5,60,44,1,80,20
22,2,6,70,60,1,80,20
23,2,7,80,80,1,80,20
