,linear,hyper,para,expo,win_model,target_ratings,selected_intensities,extrapolated_ratings
fitted,"[ -8.29247644   1.14106493  10.57460629  20.00814766  29.44168903
  38.87523039  48.30877176  57.74231312  67.17585449  76.60939585
  86.04293722  95.47647858 104.91001995]","[-10.86601785  -0.3437624    9.97592356  20.09883391  30.03054366
  39.77641922  49.341628    58.7311476   67.94977444  77.00213192
  85.89267814  94.62571324 103.20538633]","[ -6.15107026   2.42738798  11.14924436  20.01449889  29.02315157
  38.17520239  47.47065136  56.90949848  66.49174374  76.21738714
  86.0864287   96.09886839 106.25470624]","[ -5.42088984   2.748934    11.21328423  19.93068065  28.87073002
  38.01011263  47.33031664  56.81625667  66.45538095  76.2370673
  86.15219908  96.19285833 106.35209801]",expo,"[40.0, 90.0]","[4.5, 7.0]","[38.01011263152349, 86.15219907699645]"
sse,966.9296450897324,996.5281495722735,959.6772308720145,956.5980105280272,expo,"[40.0, 90.0]","[4.5, 7.0]","[38.01011263152349, 86.15219907699645]"
params,[-46.0266419   18.86708273   0.        ],[ 1.07174629e+03 -5.51525236e+04  4.89439282e+01],[-39.03092175  15.86633316   0.28679629],[-32.64761014  12.04997236   1.17599337],expo,"[40.0, 90.0]","[4.5, 7.0]","[38.01011263152349, 86.15219907699645]"
stim_val,"[4.5, 7.0]","[4.5, 7.0]","[4.5, 7.0]","[4.5, 7.0]",expo,"[40.0, 90.0]","[4.5, 7.0]","[38.01011263152349, 86.15219907699645]"
fitted_val,"[38.87523039040021, 86.0429372169522]","[39.77641921761801, 85.8926781363524]","[38.17520239331776, 86.08642869537084]","[38.01011263152349, 86.15219907699645]",expo,"[40.0, 90.0]","[4.5, 7.0]","[38.01011263152349, 86.15219907699645]"
