,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,6,1,110,10
1,0,1,20,10,1,110,10
2,0,2,30,21,1,110,10
3,0,3,40,29,1,110,10
4,0,4,50,30,1,110,10
5,0,5,60,37,1,110,10
6,0,6,70,40,1,110,10
7,0,7,80,44,1,110,10
8,0,8,90,54,1,110,10
9,0,9,100,60,1,110,10
10,1,0,10,1,1,110,10
11,1,1,20,2,1,110,10
12,1,2,30,6,1,110,10
13,1,3,40,7,1,110,10
14,1,4,50,15,1,110,10
15,1,5,60,19,1,110,10
16,1,6,70,32,1,110,10
17,1,7,80,36,1,110,10
18,1,8,90,47,1,110,10
19,2,0,10,2,1,110,10
20,2,1,20,5,1,110,10
21,2,2,30,7,1,110,10
22,2,3,40,12,1,110,10
23,2,4,50,20,1,110,10
24,2,5,60,30,1,110,10
25,2,6,70,31,1,110,10
26,2,7,80,34,1,110,10
27,2,8,90,36,1,110,10
28,2,9,100,40,1,110,10
29,2,10,110,56,1,110,10
