,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,23,1,100,10
1,0,1,20,26,1,100,10
2,0,2,30,34,1,100,10
3,0,3,40,35,1,100,10
4,0,4,50,48,1,100,10
5,0,5,60,49,1,100,10
6,0,6,70,60,1,100,10
7,0,7,80,63,1,100,10
8,0,8,90,65,1,100,10
9,0,9,100,78,1,100,10
10,0,10,110,82,1,100,10
11,0,11,120,100,1,100,10
12,1,0,10,5,1,100,10
13,1,1,20,12,1,100,10
14,1,2,30,13,1,100,10
15,1,3,40,20,1,100,10
16,1,4,50,24,1,100,10
17,1,5,60,25,1,100,10
18,1,6,70,34,1,100,10
19,1,7,80,52,1,100,10
20,1,8,90,84,1,100,10
21,1,9,100,100,1,100,10
22,2,0,10,4,1,100,10
23,2,1,20,6,1,100,10
24,2,2,30,18,1,100,10
25,2,3,40,25,1,100,10
26,2,4,50,32,1,100,10
27,2,5,60,36,1,100,10
28,2,6,70,58,1,100,10
29,2,7,80,74,1,100,10
30,2,8,90,91,1,100,10
31,2,9,100,100,1,100,10
