,linear,hyper,para,expo,win_model,target_ratings,selected_intensities,extrapolated_ratings
fitted,"[-23.5412347  -15.17034293  -6.79945117   1.57144059   9.94233235
  18.31322411  26.68411587  35.05500764  43.4258994   51.79679116
  60.16768292  68.53857468  76.90946645  85.28035821  93.65124997
 102.02214173 110.39303349]","[-39.82841264 -26.7592781  -14.4352622   -2.79440827   8.21855669
  18.65309958  28.55362407  37.96010226  46.90861406  55.43180968
  63.55930769  71.31803891  78.73254453  85.8252354   92.61661825
  99.12549377 105.36913037]","[-43.45967357 -29.88928874 -16.915046    -4.53694534   7.24501322
  18.4308297   29.02050409  39.0140364   48.41142662  57.21267475
  65.41778079  73.02674475  80.03956662  86.4562464   92.27678409
  97.5011797  102.12943322]","[-41.49248833 -27.1246882  -14.19821404  -2.35901425   8.62262829
  18.90570934  28.60563608  37.80929423  46.58402048  54.98324556
  63.05020315  70.82045746  78.32367901  85.58492483  92.62558235
  99.46407879 106.11642366]",para,"[40.0, 90.0]","[5.5, 9.0]","[39.01403639999213, 92.27678409168487]"
sse,1982.6823504300858,1793.8147814252652,1702.6230840367846,1845.1039235828966,para,"[40.0, 90.0]","[5.5, 9.0]","[39.01403639999213, 92.27678409168487]"
params,[-57.02480174  16.74178352   0.        ],[  405.55904836 -7366.56131338    14.5396693 ],[-103.70263376   32.50604844   -1.19228417],[-169.72353928   92.19823813    0.47593456],para,"[40.0, 90.0]","[5.5, 9.0]","[39.01403639999213, 92.27678409168487]"
stim_val,"[6.0, 9.0]","[5.5, 9.0]","[5.5, 9.0]","[5.5, 9.0]",para,"[40.0, 90.0]","[5.5, 9.0]","[39.01403639999213, 92.27678409168487]"
fitted_val,"[43.42589939804662, 93.65124996910052]","[37.9601022580116, 92.61661825183211]","[39.01403639999213, 92.27678409168487]","[37.80929422715829, 92.62558235419161]",para,"[40.0, 90.0]","[5.5, 9.0]","[39.01403639999213, 92.27678409168487]"
