,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,110,50
1,0,1,20,0,1,110,50
2,0,2,30,0,1,110,50
3,0,3,40,3,1,110,50
4,0,4,50,5,1,110,50
5,0,5,60,5,1,110,50
6,0,6,70,9,1,110,50
7,0,7,80,15,1,110,50
8,0,8,90,22,1,110,50
9,0,9,100,19,1,110,50
10,0,10,110,30,1,110,50
11,0,11,120,33,1,110,50
12,0,12,130,31,1,110,50
13,0,13,140,34,1,110,50
14,1,0,10,0,1,110,50
15,1,1,20,0,1,110,50
16,1,2,30,0,1,110,50
17,1,3,40,1,1,110,50
18,1,4,50,1,1,110,50
19,1,5,60,3,1,110,50
20,1,6,70,4,1,110,50
21,1,7,80,4,1,110,50
22,1,8,90,6,1,110,50
23,1,9,100,11,1,110,50
24,1,10,110,15,1,110,50
25,1,11,120,17,1,110,50
26,2,0,10,0,1,110,50
27,2,1,20,0,1,110,50
28,2,2,30,0,1,110,50
29,2,3,40,0,1,110,50
30,2,4,50,1,1,110,50
31,2,5,60,2,1,110,50
32,2,6,70,3,1,110,50
33,2,7,80,7,1,110,50
34,2,8,90,12,1,110,50
35,2,9,100,16,1,110,50
36,2,10,110,16,1,110,50
