,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,180,20
1,0,1,20,1,1,180,20
2,0,2,30,13,1,180,20
3,0,3,40,16,1,180,20
4,0,4,50,14,1,180,20
5,0,5,60,23,1,180,20
6,0,6,70,36,1,180,20
7,0,7,80,45,1,180,20
8,0,8,90,50,1,180,20
9,0,9,100,55,1,180,20
10,0,10,110,55,1,180,20
11,0,11,120,57,1,180,20
12,0,12,130,64,1,180,20
13,0,13,140,68,1,180,20
14,0,14,150,85,1,180,20
15,1,0,10,0,1,180,20
16,1,1,20,1,1,180,20
17,1,2,30,4,1,180,20
18,1,3,40,4,1,180,20
19,1,4,50,5,1,180,20
20,1,5,60,13,1,180,20
21,1,6,70,16,1,180,20
22,1,7,80,20,1,180,20
23,1,8,90,23,1,180,20
24,1,9,100,34,1,180,20
25,1,10,110,38,1,180,20
26,1,11,120,46,1,180,20
27,1,12,130,50,1,180,20
28,1,13,140,51,1,180,20
29,1,14,150,55,1,180,20
30,1,15,160,70,1,180,20
31,2,0,10,0,1,180,20
32,2,1,20,1,1,180,20
33,2,2,30,3,1,180,20
34,2,3,40,5,1,180,20
35,2,4,50,4,1,180,20
36,2,5,60,7,1,180,20
37,2,6,70,10,1,180,20
38,2,7,80,11,1,180,20
39,2,8,90,14,1,180,20
40,2,9,100,14,1,180,20
41,2,10,110,20,1,180,20
42,2,11,120,25,1,180,20
43,2,12,130,33,1,180,20
44,2,13,140,42,1,180,20
45,2,14,150,47,1,180,20
46,2,15,160,52,1,180,20
47,2,16,170,53,1,180,20
48,2,17,180,73,1,180,20
