,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,12,1,110,10
1,0,1,20,12,1,110,10
2,0,2,30,15,1,110,10
3,0,3,40,19,1,110,10
4,0,4,50,27,1,110,10
5,0,5,60,34,1,110,10
6,0,6,70,49,1,110,10
7,0,7,80,51,1,110,10
8,0,8,90,58,1,110,10
9,0,9,100,57,1,110,10
10,0,10,110,73,1,110,10
11,0,11,120,84,1,110,10
12,1,0,10,5,1,110,10
13,1,1,20,7,1,110,10
14,1,2,30,7,1,110,10
15,1,3,40,5,1,110,10
16,1,4,50,17,1,110,10
17,1,5,60,17,1,110,10
18,1,6,70,17,1,110,10
19,1,7,80,25,1,110,10
20,1,8,90,41,1,110,10
21,1,9,100,52,1,110,10
22,1,10,110,60,1,110,10
23,1,11,120,66,1,110,10
24,2,0,10,6,1,110,10
25,2,1,20,6,1,110,10
26,2,2,30,6,1,110,10
27,2,3,40,9,1,110,10
28,2,4,50,10,1,110,10
29,2,5,60,16,1,110,10
30,2,6,70,17,1,110,10
31,2,7,80,23,1,110,10
32,2,8,90,29,1,110,10
33,2,9,100,41,1,110,10
34,2,10,110,49,1,110,10
