,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,7,1,90,10
1,0,1,20,20,1,90,10
2,0,2,30,36,1,90,10
3,0,3,40,47,1,90,10
4,0,4,50,59,1,90,10
5,0,5,60,57,1,90,10
6,0,6,70,58,1,90,10
7,0,7,80,67,1,90,10
8,1,0,10,6,1,90,10
9,1,1,20,11,1,90,10
10,1,2,30,17,1,90,10
11,1,3,40,33,1,90,10
12,1,4,50,42,1,90,10
13,1,5,60,47,1,90,10
14,1,6,70,54,1,90,10
15,1,7,80,65,1,90,10
16,2,0,10,3,1,90,10
17,2,1,20,8,1,90,10
18,2,2,30,13,1,90,10
19,2,3,40,29,1,90,10
20,2,4,50,36,1,90,10
21,2,5,60,47,1,90,10
22,2,6,70,60,1,90,10
23,2,7,80,59,1,90,10
24,2,8,90,64,1,90,10
