,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,260,70
1,0,1,20,0,1,260,70
2,0,2,30,0,1,260,70
3,0,3,40,0,1,260,70
4,0,4,50,1,1,260,70
5,0,5,60,3,1,260,70
6,0,6,70,4,1,260,70
7,0,7,80,6,1,260,70
8,0,8,90,5,1,260,70
9,0,9,100,4,1,260,70
10,0,10,110,10,1,260,70
11,0,11,120,17,1,260,70
12,0,12,130,21,1,260,70
13,0,13,140,25,1,260,70
14,0,14,150,33,1,260,70
15,0,15,160,38,1,260,70
16,0,16,170,42,1,260,70
17,0,17,180,48,1,260,70
18,0,18,190,52,1,260,70
19,0,19,200,54,1,260,70
20,0,20,210,58,1,260,70
21,0,21,220,57,1,260,70
22,1,0,10,0,1,260,70
23,1,1,20,0,1,260,70
24,1,2,30,0,1,260,70
25,1,3,40,0,1,260,70
26,1,4,50,0,1,260,70
27,1,5,60,0,1,260,70
28,1,6,70,2,1,260,70
29,1,7,80,2,1,260,70
30,1,8,90,5,1,260,70
31,1,9,100,8,1,260,70
32,1,10,110,7,1,260,70
33,1,11,120,10,1,260,70
34,1,12,130,14,1,260,70
35,1,13,140,17,1,260,70
36,1,14,150,22,1,260,70
37,1,15,160,24,1,260,70
38,1,16,170,31,1,260,70
39,1,17,180,31,1,260,70
40,1,18,190,39,1,260,70
41,1,19,200,41,1,260,70
42,1,20,210,44,1,260,70
43,1,21,220,46,1,260,70
44,1,22,230,53,1,260,70
45,1,23,240,57,1,260,70
46,1,24,250,59,1,260,70
47,2,0,10,0,1,260,70
48,2,1,20,0,1,260,70
49,2,2,30,0,1,260,70
50,2,3,40,0,1,260,70
51,2,4,50,0,1,260,70
52,2,5,60,0,1,260,70
53,2,6,70,3,1,260,70
54,2,7,80,5,1,260,70
55,2,8,90,7,1,260,70
56,2,9,100,10,1,260,70
57,2,10,110,16,1,260,70
58,2,11,120,14,1,260,70
59,2,12,130,17,1,260,70
60,2,13,140,23,1,260,70
61,2,14,150,23,1,260,70
62,2,15,160,26,1,260,70
63,2,16,170,29,1,260,70
64,2,17,180,33,1,260,70
65,2,18,190,31,1,260,70
66,2,19,200,38,1,260,70
67,2,20,210,42,1,260,70
68,2,21,220,48,1,260,70
69,2,22,230,50,1,260,70
70,2,23,240,53,1,260,70
71,2,24,250,55,1,260,70
72,2,25,260,59,1,260,70
