,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,110,40
1,0,1,20,0,1,110,40
2,0,2,30,9,1,110,40
3,0,3,40,16,1,110,40
4,0,4,50,25,1,110,40
5,0,5,60,40,1,110,40
6,0,6,70,50,1,110,40
7,0,7,80,83,1,110,40
8,0,8,90,95,1,110,40
9,1,0,10,0,1,110,40
10,1,1,20,0,1,110,40
11,1,2,30,2,1,110,40
12,1,3,40,15,1,110,40
13,1,4,50,27,1,110,40
14,1,5,60,39,1,110,40
15,1,6,70,55,1,110,40
16,1,7,80,66,1,110,40
17,1,8,90,84,1,110,40
18,2,0,10,0,1,110,40
19,2,1,20,0,1,110,40
20,2,2,30,0,1,110,40
21,2,3,40,8,1,110,40
22,2,4,50,24,1,110,40
23,2,5,60,38,1,110,40
24,2,6,70,57,1,110,40
25,2,7,80,67,1,110,40
26,2,8,90,79,1,110,40
27,2,9,100,78,1,110,40
28,2,10,110,85,1,110,40
