,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,20,1,60,10
1,0,1,20,38,1,60,10
2,0,2,30,44,1,60,10
3,0,3,40,50,1,60,10
4,0,4,50,38,1,60,10
5,0,5,60,50,1,60,10
6,0,6,70,51,1,60,10
7,0,7,80,51,1,60,10
8,0,8,90,70,1,60,10
9,1,0,10,4,1,60,10
10,1,1,20,6,1,60,10
11,1,2,30,15,1,60,10
12,1,3,40,29,1,60,10
13,1,4,50,33,1,60,10
14,1,5,60,35,1,60,10
15,1,6,70,43,1,60,10
16,1,7,80,59,1,60,10
17,2,0,10,1,1,60,10
18,2,1,20,6,1,60,10
19,2,2,30,12,1,60,10
20,2,3,40,19,1,60,10
21,2,4,50,46,1,60,10
22,2,5,60,55,1,60,10
