,linear,hyper,para,expo,win_model,target_ratings,selected_intensities,extrapolated_ratings
fitted,"[-11.4967542   -0.24217688  11.01240045  22.26697778  33.52155511
  44.77613243  56.03070976  67.28528709  78.53986442  89.79444174
 101.04901907]","[-13.10173714  -0.83978161  11.17176964  22.94050941  34.47372662
  45.77842135  56.86131898  67.72888355  78.38733035  88.84263774
  99.10055835]","[ -7.29554208   1.51826204  10.87446035  20.77305286  31.21403956
  42.19742045  53.72319554  65.79136482  78.4019283   91.55488597
 105.25023783]","[ -6.33876569   1.59042158  10.52895986  20.30184599  30.79557078
  41.92931971  53.64203299  65.88562449  78.62104709  91.81583626
 105.44248919]",expo,"[40.0, 90.0]","[3.5, 5.5]","[41.92931971395668, 91.81583625516635]"
sse,1810.6058131449804,1889.0269650407577,1736.9534923165888,1689.6067144158385,expo,"[40.0, 90.0]","[3.5, 5.5]","[41.92931971395668, 91.81583625516635]"
params,[-34.00590886  22.50915466   0.        ],[ 1.17553867e+03 -5.70174537e+04  4.69686315e+01],[-23.29596774  14.91563727   1.08478839],[-17.1795505   10.84078481   1.35385995],expo,"[40.0, 90.0]","[3.5, 5.5]","[41.92931971395668, 91.81583625516635]"
stim_val,"[3.5, 5.5]","[3.0, 5.5]","[3.5, 5.5]","[3.5, 5.5]",expo,"[40.0, 90.0]","[3.5, 5.5]","[41.92931971395668, 91.81583625516635]"
fitted_val,"[44.77613243283569, 89.79444174289992]","[34.473726622593404, 88.84263773506859]","[42.1974204543072, 91.55488596560501]","[41.92931971395668, 91.81583625516635]",expo,"[40.0, 90.0]","[3.5, 5.5]","[41.92931971395668, 91.81583625516635]"
