,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,70,20
1,0,1,20,9,1,70,20
2,0,2,30,19,1,70,20
3,0,3,40,31,1,70,20
4,0,4,50,39,1,70,20
5,0,5,60,42,1,70,20
6,0,6,70,50,1,70,20
7,1,0,10,1,1,70,20
8,1,1,20,6,1,70,20
9,1,2,30,13,1,70,20
10,1,3,40,22,1,70,20
11,1,4,50,29,1,70,20
12,1,5,60,36,1,70,20
13,1,6,70,42,1,70,20
14,1,7,80,48,1,70,20
15,2,0,10,0,1,70,20
16,2,1,20,3,1,70,20
17,2,2,30,11,1,70,20
18,2,3,40,23,1,70,20
19,2,4,50,27,1,70,20
20,2,5,60,35,1,70,20
21,2,6,70,44,1,70,20
